skip ('ds2g1_014', 'screen')
skip ('ds2g1_012', 'screen')
skip ('ds2g1_015', 'screen')
skip ('ds2g1_008', 'screen')
skip ('ds2g1_007', 'screen')
skip ('ds2g1_019', 'screen')
skip ('ds2g1_016', 'screen')
skip ('ds2g1_017', 'screen')
skip ('ds2g1_018', 'screen')
skip ('ds2g1_005', 'screen')
skip ('ds2g1_009', 'screen')
skip ('ds2g1_020', 'screen')
skip ('ds2g1_013', 'screen')
skip ('ds2g1_010', 'screen')
skip ('ds2g1_011', 'screen')
skip ('ds2g1_004', 'screen')
skip ('ds2g1_021', 'screen')
skip ('ds2g1_022', 'screen')
skip ('ds2g1_001', 'screen')
skip ('ds2g1_003', 'screen')
skip ('ds2g1_006', 'screen')
skip ('ds2g1_002', 'screen')
skip ('ds2g1_000', 'screen')
skip ('ds2g1_023', 'screen')
