skip ('ds1_010', 'screen')
skip ('ds1_017', 'screen')
skip ('ds1_000', 'screen')
skip ('ds1_009', 'screen')
skip ('ds1_020', 'screen')
skip ('ds1_007', 'screen')
skip ('ds1_011', 'screen')
skip ('ds1_019', 'screen')
skip ('ds1_006', 'screen')
skip ('ds1_012', 'screen')
skip ('ds1_003', 'screen')
skip ('ds1_004', 'screen')
skip ('ds1_016', 'screen')
skip ('ds1_022', 'screen')
skip ('ds1_008', 'screen')
skip ('ds1_015', 'screen')
skip ('ds1_014', 'screen')
skip ('ds1_005', 'screen')
skip ('ds1_023', 'screen')
skip ('ds1_018', 'screen')
skip ('ds1_021', 'screen')
skip ('ds1_013', 'screen')
skip ('ds1_001', 'screen')
skip ('ds1_002', 'screen')
