island,cohort,phase,C9_mode,n,status_ok,status_no_blobs,status_fail_g0a,c9_measured_n,c9_partial_n,c9_full_n,c9_missing_n,c9_mean,c9_median,c9_max,preserved_i2_mean,preserved_i2_median,descriptor_bins_observed,unique_ghashes,strict_economy_class_n,common_I025_mean,common_I025_median,common_I025_max,qualifying_025_n,qualifying_025_per_all_n,qualifying_025_descriptor_bins,qualifying_025_strict_economy_class_n,common_I040_mean,common_I040_median,common_I040_max,qualifying_040_n,qualifying_040_per_all_n,qualifying_040_descriptor_bins,qualifying_040_strict_economy_class_n
1,baseline_g1_7,screen,all,690,565,83,42,565,560,5,125,0.25452530973451326,0.2875,0.7412,56.480326011160614,64.7050929626034,173,653,5,48.72337725173329,55.84250110942213,80.95316577068337,139,0.20144927536231885,43,4,44.0692079960769,49.58291116393797,77.3525326165467,118,0.17101449275362318,40,3
1,baseline_g1_7,screen,partial,560,560,0,0,560,560,0,0,0.25239464285714286,0.28705,0.7412,56.31910590355845,64.52531800639238,169,529,0,48.549195499097415,55.71190566172676,80.95316577068337,135,0.24107142857142858,40,0,43.88724925642079,49.41646447298281,77.3525326165467,115,0.20535714285714285,38,0
1,baseline_g1_7,screen,full,5,5,0,0,5,0,5,0,0.49316,0.4737,0.6979,74.53697806260205,75.88545184945205,4,4,5,68.23173354695153,70.53791930118574,72.40459978158677,4,0.8,3,4,64.44858683756122,65.28938643722486,71.8816798252694,3,0.6,2,3
1,baseline_g1_7,seed2,all,257,257,0,0,257,257,0,0,0.2461544747081712,0.251,0.7502,60.36817354677794,64.99549633327905,148,250,0,51.42999202778773,55.2904150473444,77.88911561975847,60,0.23346303501945526,37,0,46.06708311639361,48.428068122778946,74.17131186369798,51,0.19844357976653695,29,0
1,baseline_g1_7,seed2,partial,257,257,0,0,257,257,0,0,0.2461544747081712,0.251,0.7502,60.36817354677794,64.99549633327905,148,250,0,51.42999202778773,55.2904150473444,77.88911561975847,60,0.23346303501945526,37,0,46.06708311639361,48.428068122778946,74.17131186369798,51,0.19844357976653695,29,0
1,baseline_g1_7,seed2,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
1,baseline_g1_7,seed3,all,229,229,0,0,229,229,0,0,0.2581248908296943,0.2336,0.8504,61.42487150931383,64.8019086161906,140,223,0,52.52177590272773,54.909576613931165,82.3327196684081,63,0.27510917030567683,38,0,47.17991853877607,47.83367850274367,78.94939259564032,52,0.22707423580786026,32,0
1,baseline_g1_7,seed3,partial,229,229,0,0,229,229,0,0,0.2581248908296943,0.2336,0.8504,61.42487150931383,64.8019086161906,140,223,0,52.52177590272773,54.909576613931165,82.3327196684081,63,0.27510917030567683,38,0,47.17991853877607,47.83367850274367,78.94939259564032,52,0.22707423580786026,32,0
1,baseline_g1_7,seed3,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
1,baseline_g1_7,selected_confirmations_pooled,all,486,486,0,0,486,486,0,0,0.2517948559670782,0.24964999999999998,0.8504,60.86608266904279,64.86119649972876,193,252,0,51.94443340095905,54.94117651241156,82.3327196684081,123,0.25308641975308643,48,0,46.5914438401088,48.29277881246962,78.94939259564032,103,0.21193415637860083,41,0
1,baseline_g1_7,selected_confirmations_pooled,partial,486,486,0,0,486,486,0,0,0.2517948559670782,0.24964999999999998,0.8504,60.86608266904279,64.86119649972876,193,252,0,51.94443340095905,54.94117651241156,82.3327196684081,123,0.25308641975308643,48,0,46.5914438401088,48.29277881246962,78.94939259564032,103,0.21193415637860083,41,0
1,baseline_g1_7,selected_confirmations_pooled,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
1,baseline_g1_7,verified_same_genome_confirmations,all,483,483,0,0,483,483,0,0,0.25031097308488615,0.2437,0.8504,60.835870688514,64.87962418088264,192,250,0,51.884677343507654,54.8020981284296,82.3327196684081,122,0.2525879917184265,48,0,46.51396133650384,48.16141323615591,78.94939259564032,102,0.2111801242236025,41,0
1,baseline_g1_7,verified_same_genome_confirmations,partial,483,483,0,0,483,483,0,0,0.25031097308488615,0.2437,0.8504,60.835870688514,64.87962418088264,192,250,0,51.884677343507654,54.8020981284296,82.3327196684081,122,0.2525879917184265,48,0,46.51396133650384,48.16141323615591,78.94939259564032,102,0.2111801242236025,41,0
1,baseline_g1_7,verified_same_genome_confirmations,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
1,transition_g8,screen,all,81,76,4,1,76,76,0,5,0.27934473684210526,0.30325,0.7,53.79171047082366,60.69140843512007,57,76,0,47.32740127417038,49.7687800693581,76.4356844345693,22,0.2716049382716049,13,0,43.448815756178405,45.3296322126291,74.06333114437204,16,0.19753086419753085,10,0
1,transition_g8,screen,partial,76,76,0,0,76,76,0,0,0.27934473684210526,0.30325,0.7,53.79171047082366,60.69140843512007,57,71,0,47.32740127417038,49.7687800693581,76.4356844345693,22,0.2894736842105263,13,0,43.448815756178405,45.3296322126291,74.06333114437204,16,0.21052631578947367,10,0
1,transition_g8,screen,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
