island,cand,phase,seed,gen,declared_parent,actual_origin_op,valid_same_genome_base,evidence
1,p1g1_023_s2,seed2,958,1,p1g1_023,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_000_s2,seed2,958,1,p1g1_000,mutate,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_052_s2,seed2,958,1,p1g1_052,merge_spatial_ic,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_034_s2,seed2,958,1,p1g1_034,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_037_s2,seed2,958,1,p1g1_037,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_038_s2,seed2,958,1,p1g1_038,add_chan,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_042_s2,seed2,958,1,p1g1_042,dup_act,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_056_s2,seed2,958,1,p1g1_056,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_058_s2,seed2,958,1,p1g1_058,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_061_s2,seed2,958,1,p1g1_061,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_063_s2,seed2,958,1,p1g1_063,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_068_s2,seed2,958,1,p1g1_068,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_075_s2,seed2,958,1,p1g1_075,merge_cross_edge,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_050_s2,seed2,958,1,p1g1_050,merge_spatial_ic,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_027_s2,seed2,958,1,p1g1_027,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_044_s2,seed2,958,1,p1g1_044,dup_act,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_045_s2,seed2,958,1,p1g1_045,dup_act,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_018_s2,seed2,958,1,p1g1_018,mint_bilin,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_048_s2,seed2,958,1,p1g1_048,merge_spatial_ic,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_053_s2,seed2,958,1,p1g1_053,merge_spatial_ic,True,explicit_single_parent_and_matching_ghash_and_model
1,p1g1_005_s2,seed2,958,1,p1g1_005,mutate,True,explicit_single_parent_and_matching_ghash_and_model
