island,cand,gen,op,parents,ghash,screen_status,screen_C9_mode,screen_C9,screen_interest_raw,screen_interest_v2,screen_descriptor_bin,selected_declared,selected_valid,declared_pair,valid_pair,invalid_confirmation_rows,unique_assayed_seeds,three_seed_C9_min,seed2_cand,seed2_status,seed2_C9,seed2_interest_raw,seed2_interest_v2,seed3_cand,seed3_status,seed3_C9,seed3_interest_raw,seed3_interest_v2,screen_qualifies_025,screen_common_I025,any_seed_qualifies_025,any_confirmed_025,screen_plus_any_confirmed_025,robust_three_seeds_025,robust_partial_only_025,three_seed_common_I025_min,screen_qualifies_040,screen_common_I040,any_seed_qualifies_040,any_confirmed_040,screen_plus_any_confirmed_040,robust_three_seeds_040,robust_partial_only_040,three_seed_common_I040_min,film_archive_path,screen_film_member,seed2_film_member,seed3_film_member,suggested_role
1,p1g10_038,10,mint_bilin,"[""p1g7_023""]",0b6b177288d9da87,ok,partial,0.5041,57.214647597857095,61.75107932976183,4|switch|mobile|liquid|s1|g0|structured,True,True,True,True,0,3,0.4755,p1g10_038_s2,ok,0.6781,63.852170410361666,61.213617350602775,p1g10_038_s3,ok,0.4755,54.245588380191776,58.7093139669863,False,58.91580949732137,True,True,False,False,False,55.919485475239725,False,57.214647597857095,True,True,False,False,False,54.245588380191776,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g10_038.npz,isl1/out/runs/p1g10_038_s2.npz,isl1/out/runs/p1g10_038_s3.npz,top_confirmed_C9_candidate
1,p1g11_043,11,delete_bilin,"[""p1g10_048""]",14b3f7c08d2701ed,ok,partial,0.8185,74.5464560559511,69.6774267599185,4|switch|rotor|flicker|s1|g2|structured,True,True,True,True,0,3,0.0,p1g11_043_s2,ok,0.0,50.53061271352412,84.21768785587354,p1g11_043_s3,ok,0.0,48.41350248070177,80.68917080116962,True,72.72057006993887,True,False,False,False,False,60.51687810087722,True,74.5464560559511,True,False,False,False,False,48.41350248070177,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g11_043.npz,isl1/out/runs/p1g11_043_s2.npz,isl1/out/runs/p1g11_043_s3.npz,unstable_high_screen_control
1,p1g12_007,12,mutate,"[""p1g11_043""]",f76814c5c3c3bbe2,ok,partial,0.7916,78.6137524063647,78.24958734394116,3|switch|rotor|flicker|s1|g2|structured,True,True,True,True,0,3,0.5677,p1g12_007_s2,ok,0.5677,65.77130527106834,71.77217545178057,p1g12_007_s3,ok,0.8867,79.71012062938584,73.73686771564307,True,78.47719050795587,True,True,True,True,True,68.02163158883542,True,78.6137524063647,True,True,True,True,True,65.77130527106834,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g12_007.npz,isl1/out/runs/p1g12_007_s2.npz,isl1/out/runs/p1g12_007_s3.npz,top_confirmed_C9_candidate
1,p1g12_037,12,mint_bilin,"[""p1g10_048""]",f28ff34704c181dd,ok,partial,0.5299,69.00803290900228,79.68672151500381,4|grow|rotor|liquid|s1|g2|structured,True,True,True,True,0,3,0.4901,p1g12_037_s2,ok,0.8195,81.00909559985232,80.38182599975386,p1g12_037_s3,ok,0.4901,67.4201732917217,79.6936221528695,True,73.01254113625286,True,True,True,True,True,72.02271661465213,True,69.00803290900228,True,True,True,True,True,67.4201732917217,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g12_037.npz,isl1/out/runs/p1g12_037_s2.npz,isl1/out/runs/p1g12_037_s3.npz,top_confirmed_C9_candidate
1,p1g12_049,12,add_chan,"[""p1g11_043""]",ade485a3c34506e6,ok,partial,0.6737,75.37794386374819,80.71657310624698,4|grow|rotor|flicker|s2|g2|structured,True,True,True,True,0,3,0.6737,p1g12_049_s2,ok,0.8854,84.24539192398363,81.38231987330606,p1g12_049_s3,ok,0.8895,82.6504598758784,78.45076645979732,True,77.37992982968524,True,True,True,True,True,77.37992982968524,True,75.37794386374819,True,True,True,True,True,75.37794386374819,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g12_049.npz,isl1/out/runs/p1g12_049_s2.npz,isl1/out/runs/p1g12_049_s3.npz,top_confirmed_C9_candidate
1,p1g1_009,1,mutate,"[""p6g4_021""]",6c1a68ff3495c5bc,ok,partial,0.4351,71.40309994613278,80.70079992817705,4|grow|mobile|liquid|s2|g2|structured,True,True,True,True,0,3,0.4351,p1g1_009_s2,ok,0.5587,73.85947987315791,79.85597316421055,p1g1_009_s3,ok,0.8504,77.20673455395642,74.5956460719419,True,71.40309994613278,True,True,True,True,True,71.40309994613278,True,65.82447995690623,True,True,True,True,True,65.82447995690623,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g1_009.npz,isl1/out/runs/p1g1_009_s2.npz,isl1/out/runs/p1g1_009_s3.npz,top_confirmed_C9_candidate
1,p1g2_051,2,merge_spatial_ic,"[""p3g9_022"",""p6g8_020""]",9a815b4bb1db78ea,ok,partial,0.6097,73.299540481978,77.409387309304,4|grow|mobile|liquid|s1|g2|structured,True,True,True,True,0,3,0.551,p1g2_051_s2,ok,0.551,75.31865484314005,82.05820645752007,p1g2_051_s3,ok,0.6631,82.10924074455039,87.37565432606719,True,73.299540481978,True,True,True,True,True,73.299540481978,True,70.83363238558239,True,True,True,True,True,70.83363238558239,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g2_051.npz,isl1/out/runs/p1g2_051_s2.npz,isl1/out/runs/p1g2_051_s3.npz,top_confirmed_C9_candidate
1,p1g3_005,3,mutate,"[""p3g6_032""]",86801acb1b8c160d,ok,partial,0.5547,65.4638363410453,68.79511512139374,4|grow|mobile|liquid|s1|g1|structured,True,True,True,True,0,3,0.523,p1g3_005_s2,ok,0.523,70.26001344480079,76.24668459306771,p1g3_005_s3,ok,0.7859,73.54656893657145,71.86542524876194,True,65.4638363410453,True,True,True,True,True,65.4638363410453,True,63.46506907283624,True,True,True,True,True,63.46506907283624,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g3_005.npz,isl1/out/runs/p1g3_005_s2.npz,isl1/out/runs/p1g3_005_s3.npz,top_confirmed_C9_candidate
1,p1g4_069,4,merge_slow_tanh,"[""p4g5_070"",""ref_iso_d0.75""]",b5bd74556f52443f,ok,partial,0.5362,42.69010317758537,39.046804236780496,2|constant|mobile|liquid|s1|g2|structured,True,True,True,True,0,3,0.5362,p1g4_069_s2,ok,0.6019,42.83121635840118,37.04495514453491,p1g4_069_s3,ok,0.7791,71.11713241397678,68.85284321863571,False,42.69010317758537,True,True,False,False,False,42.69010317758537,False,44.876082542068296,True,True,False,False,False,44.876082542068296,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g4_069.npz,isl1/out/runs/p1g4_069_s2.npz,isl1/out/runs/p1g4_069_s3.npz,top_confirmed_C9_candidate
1,p1g6_009,6,mutate,"[""p3g9_022""]",91813fbd275fbaaa,ok,partial,0.588,71.84487545626631,76.19316727502175,4|switch|mobile|liquid|s1|g2|structured,True,True,True,True,0,3,0.588,p1g6_009_s2,ok,0.7502,72.15161723210426,71.19548964280568,p1g6_009_s3,ok,0.6044,68.27500606854943,70.88667475806591,True,71.84487545626631,True,True,True,True,True,68.27500606854943,True,69.23590036501305,True,True,True,True,True,66.70800485483954,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g6_009.npz,isl1/out/runs/p1g6_009_s2.npz,isl1/out/runs/p1g6_009_s3.npz,top_confirmed_C9_candidate
