island,gen,n,add_chan,delete_bilin,dup_act,immigrate,merge_cross_edge,merge_share_chan,merge_slow_tanh,merge_spatial_ic,mint_bilin,mutate
1,1,100,8,4,8,20,19,4,1,8,12,16
1,2,100,8,4,8,20,17,4,3,8,12,16
1,3,98,8,4,8,20,16,4,2,8,12,16
1,4,98,8,4,8,20,16,3,3,8,12,16
1,5,98,8,4,8,20,15,3,4,8,12,16
1,6,99,8,4,8,20,15,4,4,8,12,16
1,7,97,8,4,8,20,13,4,4,8,12,16
1,8,81,8,4,0,5,7,0,3,22,16,16
1,9,72,8,4,0,5,11,0,2,2,18,22
1,10,69,8,4,0,5,7,0,3,2,18,22
1,11,70,8,4,0,5,6,0,2,5,18,22
1,12,72,8,4,0,5,7,0,5,3,18,22
2,1,100,8,4,8,20,19,4,1,8,12,16
2,2,99,8,4,8,20,16,4,3,8,12,16
2,3,98,8,4,8,20,15,3,4,8,12,16
2,4,97,8,4,8,20,15,4,2,8,12,16
2,5,95,8,4,8,20,14,3,2,8,12,16
2,6,99,8,4,8,20,15,3,5,8,12,16
2,7,98,8,4,8,20,14,4,4,8,12,16
2,8,82,8,4,0,5,8,0,2,23,16,16
2,9,70,8,4,0,5,10,0,2,1,18,22
2,10,72,8,4,0,5,5,0,3,7,18,22
2,11,68,8,4,0,5,6,0,1,4,18,22
2,12,67,8,4,0,5,8,0,1,1,18,22
both,1,200,16,8,16,40,38,8,2,16,24,32
both,2,199,16,8,16,40,33,8,6,16,24,32
both,3,196,16,8,16,40,31,7,6,16,24,32
both,4,195,16,8,16,40,31,7,5,16,24,32
both,5,193,16,8,16,40,29,6,6,16,24,32
both,6,198,16,8,16,40,30,7,9,16,24,32
both,7,195,16,8,16,40,27,8,8,16,24,32
both,8,163,16,8,0,10,15,0,5,45,32,32
both,9,142,16,8,0,10,21,0,4,3,36,44
both,10,141,16,8,0,10,12,0,6,9,36,44
both,11,138,16,8,0,10,12,0,3,9,36,44
both,12,139,16,8,0,10,15,0,6,4,36,44
