island,cohort,op,W9,base_candidates_n,unique_ghashes,screen_status_ok_n,screen_status_ok_rate,screen_partial_n,screen_full_n,screen_missing_C9_n,screen_success_n,screen_success_rate,screen_partial_success_n,screen_full_success_n,selected_declared_n,selected_valid_n,complete_valid_pairs_n,declared_pairs_n,invalid_confirmation_rows,any_seed_success_n,any_confirmed_n,any_confirmed_per_all_bases,any_confirmed_per_selected,screen_plus_any_confirmed_n,robust_three_seeds_n,robust_per_all_bases,robust_per_complete_valid_pairs,robust_partial_only_n,robust_partial_per_all_bases
1,baseline_g1_7,ALL,0.25,690,653,565,0.8188405797101449,560,5,125,139,0.20144927536231885,135,4,257,257,226,229,3,162,78,0.11304347826086956,0.3035019455252918,55,38,0.05507246376811594,0.168141592920354,37,0.0536231884057971
1,baseline_g1_7,ALL,0.4,690,653,565,0.8188405797101449,560,5,125,118,0.17101449275362318,115,3,257,257,226,229,3,138,66,0.09565217391304348,0.25680933852140075,46,30,0.043478260869565216,0.13274336283185842,29,0.042028985507246375
1,baseline_g1_7,add_chan,0.25,56,56,56,1.0,56,0,0,15,0.26785714285714285,15,0,29,29,24,26,2,18,11,0.19642857142857142,0.3793103448275862,8,5,0.08928571428571429,0.20833333333333334,5,0.08928571428571429
1,baseline_g1_7,add_chan,0.4,56,56,56,1.0,56,0,0,15,0.26785714285714285,15,0,29,29,24,26,2,16,9,0.16071428571428573,0.3103448275862069,8,3,0.05357142857142857,0.125,3,0.05357142857142857
1,baseline_g1_7,delete_bilin,0.25,28,23,28,1.0,28,0,0,9,0.32142857142857145,9,0,13,13,12,12,0,9,5,0.17857142857142858,0.38461538461538464,5,5,0.17857142857142858,0.4166666666666667,5,0.17857142857142858
1,baseline_g1_7,delete_bilin,0.4,28,23,28,1.0,28,0,0,7,0.25,7,0,13,13,12,12,0,8,5,0.17857142857142858,0.38461538461538464,4,3,0.10714285714285714,0.25,3,0.10714285714285714
1,baseline_g1_7,dup_act,0.25,56,56,40,0.7142857142857143,40,0,16,0,0.0,0,0,22,22,19,19,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
1,baseline_g1_7,dup_act,0.4,56,56,40,0.7142857142857143,40,0,16,0,0.0,0,0,22,22,19,19,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
1,baseline_g1_7,immigrate,0.25,140,140,57,0.40714285714285714,57,0,83,0,0.0,0,0,4,4,3,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
1,baseline_g1_7,immigrate,0.4,140,140,57,0.40714285714285714,57,0,83,0,0.0,0,0,4,4,3,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
1,baseline_g1_7,merge_cross_edge,0.25,111,111,107,0.963963963963964,107,0,4,29,0.26126126126126126,29,0,50,50,44,44,0,38,18,0.16216216216216217,0.36,9,3,0.02702702702702703,0.06818181818181818,3,0.02702702702702703
1,baseline_g1_7,merge_cross_edge,0.4,111,111,107,0.963963963963964,107,0,4,25,0.22522522522522523,25,0,50,50,44,44,0,33,16,0.14414414414414414,0.32,8,2,0.018018018018018018,0.045454545454545456,2,0.018018018018018018
1,baseline_g1_7,merge_share_chan,0.25,26,25,8,0.3076923076923077,8,0,18,0,0.0,0,0,6,6,4,4,0,1,1,0.038461538461538464,0.16666666666666666,0,0,0.0,0.0,0,0.0
1,baseline_g1_7,merge_share_chan,0.4,26,25,8,0.3076923076923077,8,0,18,0,0.0,0,0,6,6,4,4,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
1,baseline_g1_7,merge_slow_tanh,0.25,21,21,20,0.9523809523809523,20,0,1,8,0.38095238095238093,8,0,12,12,11,11,0,10,6,0.2857142857142857,0.5,4,3,0.14285714285714285,0.2727272727272727,3,0.14285714285714285
1,baseline_g1_7,merge_slow_tanh,0.4,21,21,20,0.9523809523809523,20,0,1,4,0.19047619047619047,4,0,12,12,11,11,0,7,4,0.19047619047619047,0.3333333333333333,1,1,0.047619047619047616,0.09090909090909091,1,0.047619047619047616
