island,gen,C9_mode,n,status_ok,status_no_blobs,status_fail_g0a,c9_measured_n,c9_partial_n,c9_full_n,c9_missing_n,c9_mean,c9_median,c9_max,preserved_i2_mean,preserved_i2_median,descriptor_bins_observed,unique_ghashes,strict_economy_class_n,common_I025_mean,common_I025_median,common_I025_max,qualifying_025_n,qualifying_025_per_all_n,qualifying_025_descriptor_bins,qualifying_025_strict_economy_class_n,common_I040_mean,common_I040_median,common_I040_max,qualifying_040_n,qualifying_040_per_all_n,qualifying_040_descriptor_bins,qualifying_040_strict_economy_class_n
1,1,all,100,80,13,7,80,75,5,20,0.2429725,0.30355,0.6979,59.10415083919378,65.77611536206916,57,99,5,50.40242562939533,57.161069022993516,75.20083272038946,19,0.19,16,4,45.18139050351627,49.55520591925972,71.8816798252694,16,0.16,14,3
1,1,partial,75,75,0,0,75,75,0,0,0.22629333333333332,0.2616,0.5764,58.07529569096656,64.851661101598,53,75,0,49.21380510155826,54.25804858845859,75.20083272038946,15,0.2,13,0,43.89691074791327,49.25643887076687,71.61035398479223,13,0.17333333333333334,12,0
1,1,full,5,5,0,0,5,0,5,0,0.49316,0.4737,0.6979,74.53697806260205,75.88545184945205,4,4,5,68.23173354695153,70.53791930118574,72.40459978158677,4,0.8,3,4,64.44858683756122,65.28938643722486,71.8816798252694,3,0.6,2,3
1,1,missing,20,0,13,7,0,0,0,20,,,,,,0,20,0,,,,0,0.0,0,0,,,,0,0.0,0,0
1,2,all,100,81,13,6,81,81,0,19,0.2745641975308642,0.3023,0.6452,55.87514637887137,64.30260800212847,52,99,0,48.77046472242513,56.66724421773349,78.97129852615053,21,0.21,15,0,44.50765572855739,50.673564801277074,76.06303882092043,16,0.16,13,0
1,2,partial,81,81,0,0,81,81,0,0,0.2745641975308642,0.3023,0.6452,55.87514637887137,64.30260800212847,52,80,0,48.77046472242513,56.66724421773349,78.97129852615053,21,0.25925925925925924,15,0,44.50765572855739,50.673564801277074,76.06303882092043,16,0.19753086419753085,13,0
1,2,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
1,2,missing,19,0,13,6,0,0,0,19,,,,,,0,19,0,,,,0,0.0,0,0,,,,0,0.0,0,0
1,3,all,98,86,9,3,86,86,0,12,0.23622906976744187,0.279,0.6883,55.15356119703754,66.24080756743639,51,95,0,47.270897641964204,57.99812491181147,73.2769650918325,17,0.17346938775510204,12,0,42.5412995089202,52.13214789684004,70.80741993141508,13,0.1326530612244898,10,0
1,3,partial,86,86,0,0,86,86,0,0,0.23622906976744187,0.279,0.6883,55.15356119703754,66.24080756743639,51,83,0,47.270897641964204,57.99812491181147,73.2769650918325,17,0.19767441860465115,12,0,42.5412995089202,52.13214789684004,70.80741993141508,13,0.1511627906976744,10,0
1,3,full,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,,0,0,,,,0,,0,0
1,3,missing,12,0,9,3,0,0,0,12,,,,,,0,12,0,,,,0,0.0,0,0,,,,0,0.0,0,0
1,4,all,98,83,9,6,83,83,0,15,0.24852530120481928,0.2664,0.6295,54.793840636329,64.13315553435307,55,98,0,47.30851300736723,52.416576215239196,80.95316577068337,21,0.21428571428571427,16,0,42.81731642999017,44.679878446637524,77.3525326165467,19,0.19387755102040816,15,0
