s1v3_uni_3050 assayed ['1', '1', '2', '1', '0', 'persist', 'merge', 'robust_static'] 601.23s
s1v3_jit_3051 assayed ['2', '4', '0', '1', '1', 'domain|persist', 'bond', 'fragile'] 897.83s
s1v3_uni_3052 assayed ['1', '3', '0', '1', '0', 'die', 'na', 'na'] 4.57s
s1v3_jit_3053 assayed ['2', '3', '0', '1', '0', 'domain|die', 'na', 'na'] 119.88s
s1v3_uni_3054 assayed ['1', '4', '0', '1', '0', 'die', 'na', 'na'] 4.4s
s1v3_jit_3055 assayed ['1', '2', '0', '1', '1', 'die', 'na', 'na'] 20.87s
s1v3_uni_3056 assayed ['1', '1', '2', '0', '0', 'die', 'na', 'na'] 4.34s
s1v3_jit_3057 assayed ['1', '2', '0', '1', '1', 'persist', 'bond', 'robust_static'] 256.11s
s1v3_uni_3058 assayed ['1', '4', '0', '1', '0', 'die', 'na', 'na'] 4.3s
s1v3_jit_3059 assayed ['2', '3', '0', '1', '0', 'persist|die', 'repel', 'robust_static'] 301.22s
s1v3_uni_3060 assayed ['2', '2', '1', '0', '0', 'domain|domain', 'na', 'na'] 181.76s
s1v3_jit_3061 assayed ['2', '3', '0', '1', '0', 'die|persist', 'repel', 'fragile'] 431.01s
s1v3_uni_3062 fail_g0b  0.01s
s1v3_jit_3063 assayed ['2', '4', '0', '1', '1', 'domain|persist', 'repel', 'fragile'] 359.96s
s1v3_uni_3064 assayed ['1', '4', '0', '0', '0', 'die', 'na', 'na'] 3.59s
s1v3_jit_3065 assayed ['2', '3', '0', '1', '0', 'domain|domain', 'na', 'na'] 175.46s
s1v3_uni_3066 assayed ['1', '3', '0', '0', '0', 'domain', 'na', 'na'] 73.8s
s1v3_jit_3067 assayed ['1', '2', '0', '1', '1', 'die', 'na', 'na'] 3.04s
s1v3_uni_3068 assayed ['1', '3', '0', '1', '0', 'die', 'na', 'na'] 4.02s
s1v3_jit_3069 assayed ['2', '4', '0', '1', '1', 'persist|replicate', 'approach', 'robust_static'] 397.74s
s1v3_uni_3070 assayed ['1', '4', '0', '0', '0', 'domain', 'na', 'na'] 72.2s
s1v3_jit_3071 assayed ['1', '2', '0', '1', '1', 'domain', 'na', 'na'] 40.94s
s1v3_uni_3072 assayed ['1', '2', '0', '0', '0', 'die', 'na', 'na'] 1.78s
s1v3_jit_3073 assayed ['2', '4', '0', '1', '1', 'multi|persist', 'bond', 'fragile'] 418.77s
s1v3_uni_3074 assayed ['2', '2', '1', '0', '0', 'domain|die', 'na', 'na'] 66.3s
s1v3_jit_3075 assayed ['2', '4', '0', '1', '1', 'persist|persist', 'repel', 'robust_static'] 470.29s
s1v3_uni_3076 assayed ['2', '3', '0', '0', '0', 'die|die', 'na', 'na'] 10.39s
s1v3_jit_3077 assayed ['2', '3', '0', '1', '0', 'domain|die', 'na', 'na'] 103.92s
s1v3_uni_3078 fail_g0b  0.0s
s1v3_jit_3079 assayed ['1', '2', '0', '1', '1', 'die', 'na', 'na'] 2.91s
s1v3_uni_3080 assayed ['2', '3', '0', '0', '0', 'die|die', 'na', 'na'] 10.46s
s1v3_jit_3081 assayed ['1', '2', '1', '1', '1', 'multi', 'na', 'na'] 77.14s
s1v3_uni_3082 assayed ['2', '2', '0', '0', '0', 'domain|die', 'na', 'na'] 86.81s
s1v3_jit_3083 assayed ['1', '2', '0', '1', '1', 'die', 'na', 'na'] 2.8s
s1v3_uni_3084 assayed ['2', '2', '1', '0', '0', 'die|die', 'na', 'na'] 11.69s
s1v3_jit_3085 assayed ['2', '4', '0', '1', '1', 'replicate|persist', 'bond', 'fragile'] 623.25s
s1v3_uni_3086 assayed ['2', '2', '2', '0', '0', 'die|domain', 'na', 'na'] 163.78s
s1v3_jit_3087 assayed ['1', '2', '1', '1', '1', 'multi', 'na', 'na'] 87.02s
s1v3_uni_3088 assayed ['2', '1', '1', '0', '0', 'die|die', 'na', 'na'] 10.05s
s1v3_jit_3089 assayed ['1', '2', '0', '1', '1', 'persist', 'repel', 'robust_static'] 278.53s
s1v3_uni_3090 assayed ['1', '2', '2', '0', '0', 'die', 'na', 'na'] 4.1s
s1v3_jit_3091 assayed ['1', '2', '0', '1', '1', 'persist', 'bond', 'robust_static'] 166.73s
s1v3_uni_3092 assayed ['1', '1', '1', '1', '1', 'die', 'na', 'na'] 2.01s
s1v3_jit_3093 assayed ['1', '2', '0', '1', '1', 'die', 'na', 'na'] 3.55s
s1v3_uni_3094 assayed ['1', '2', '1', '0', '0', 'die', 'na', 'na'] 2.59s
s1v3_jit_3095 assayed ['1', '2', '0', '1', '1', 'die', 'na', 'na'] 1.8s
s1v3_uni_3096 assayed ['2', '2', '0', '1', '0', 'die|domain', 'na', 'na'] 74.32s
s1v3_jit_3097 assayed ['2', '3', '0', '1', '0', 'domain|persist', 'repel', 'fragile'] 277.04s
s1v3_uni_3098 assayed ['1', '2', '0', '0', '0', 'die', 'na', 'na'] 1.09s
s1v3_jit_3099 assayed ['1', '2', '0', '1', '1', 'die', 'na', 'na'] 1.11s
