s1v3_uni_3150 assayed ['1', '3', '0', '0', '0', 'die', 'na', 'na'] 5.89s
s1v3_jit_3151 assayed ['2', '3', '0', '1', '0', 'domain|persist', 'repel', 'fragile'] 1029.64s
s1v3_uni_3152 assayed ['1', '2', '2', '0', '0', 'domain', 'na', 'na'] 91.19s
s1v3_jit_3153 assayed ['1', '2', '1', '1', '1', 'die', 'na', 'na'] 7.03s
s1v3_uni_3154 assayed ['1', '2', '1', '0', '0', 'die', 'na', 'na'] 6.68s
s1v3_jit_3155 assayed ['1', '2', '0', '1', '1', 'die', 'na', 'na'] 5.14s
s1v3_uni_3156 assayed ['1', '3', '0', '1', '0', 'die', 'na', 'na'] 11.33s
s1v3_jit_3157 assayed ['1', '2', '0', '1', '1', 'replicate', 'na', 'na'] 12.63s
s1v3_uni_3158 fail_g0b  0.03s
s1v3_jit_3159 assayed ['2', '3', '0', '1', '1', 'persist|die', 'repel', 'robust_static'] 594.68s
s1v3_uni_3160 assayed ['2', '3', '0', '1', '0', 'die|domain', 'na', 'na'] 101.9s
s1v3_jit_3161 assayed ['2', '4', '0', '1', '1', 'die|persist', 'bond', 'fragile'] 292.22s
s1v3_uni_3162 assayed ['1', '2', '0', '0', '0', 'die', 'na', 'na'] 1.2s
s1v3_jit_3163 assayed ['1', '2', '0', '1', '1', 'die', 'na', 'na'] 1.21s
s1v3_uni_3164 assayed ['1', '2', '1', '1', '0', 'die', 'na', 'na'] 1.63s
s1v3_jit_3165 assayed ['2', '3', '0', '1', '0', 'die|die', 'na', 'na'] 4.39s
s1v3_uni_3166 assayed ['1', '4', '0', '0', '0', 'die', 'na', 'na'] 1.93s
s1v3_jit_3167 assayed ['2', '3', '0', '1', '0', 'persist|persist', 'repel', 'robust_static'] 309.46s
s1v3_uni_3168 assayed ['2', '3', '1', '0', '0', 'domain|die', 'na', 'na'] 136.02s
s1v3_jit_3169 assayed ['2', '3', '0', '1', '0', 'persist|domain', 'repel', 'robust_static'] 482.6s
s1v3_uni_3170 assayed ['1', '2', '0', '1', '0', 'die', 'na', 'na'] 2.14s
s1v3_jit_3171 assayed ['1', '2', '1', '1', '1', 'replicate', 'na', 'na'] 6.07s
s1v3_uni_3172 assayed ['1', '1', '1', '0', '0', 'domain', 'na', 'na'] 46.26s
s1v3_jit_3173 assayed ['1', '2', '0', '1', '1', 'persist', 'bond', 'robust_static'] 153.43s
s1v3_uni_3174 assayed ['2', '2', '0', '0', '0', 'die|die', 'na', 'na'] 7.15s
s1v3_jit_3175 assayed ['1', '2', '0', '1', '1', 'die', 'na', 'na'] 2.21s
s1v3_uni_3176 assayed ['1', '3', '1', '0', '0', 'die', 'na', 'na'] 3.91s
s1v3_jit_3177 assayed ['1', '2', '1', '1', '1', 'persist', 'replicate', 'fragile'] 237.33s
s1v3_uni_3178 assayed ['1', '2', '0', '0', '0', 'die', 'na', 'na'] 2.66s
s1v3_jit_3179 assayed ['2', '4', '0', '1', '1', 'persist|die', 'replicate', 'robust_static'] 366.89s
s1v3_uni_3180 assayed ['2', '2', '0', '0', '0', 'die|domain', 'na', 'na'] 60.74s
s1v3_jit_3181 assayed ['2', '4', '0', '1', '1', 'persist|persist', 'replicate', 'robust_static'] 281.24s
s1v3_uni_3182 assayed ['1', '2', '0', '1', '0', 'die', 'na', 'na'] 2.19s
s1v3_jit_3183 assayed ['1', '2', '1', '1', '1', 'die', 'na', 'na'] 3.23s
s1v3_uni_3184 assayed ['2', '1', '1', '0', '0', 'domain|die', 'na', 'na'] 64.09s
s1v3_jit_3185 assayed ['1', '2', '0', '1', '1', 'die', 'na', 'na'] 1.87s
s1v3_uni_3186 fail_g0b  0.0s
s1v3_jit_3187 assayed ['1', '2', '1', '1', '1', 'persist', 'replicate', 'robust_static'] 121.06s
s1v3_uni_3188 assayed ['2', '1', '1', '0', '0', 'domain|die', 'na', 'na'] 55.16s
s1v3_jit_3189 assayed ['2', '4', '0', '1', '1', 'replicate|multi', 'na', 'na'] 86.67s
s1v3_uni_3190 assayed ['1', '1', '1', '0', '0', 'die', 'na', 'na'] 2.31s
s1v3_jit_3191 assayed ['1', '2', '1', '1', '1', 'persist', 'replicate', 'fragile'] 289.68s
s1v3_uni_3192 fail_g0b  0.0s
s1v3_jit_3193 assayed ['1', '2', '0', '1', '1', 'die', 'na', 'na'] 3.03s
s1v3_uni_3194 assayed ['1', '3', '0', '1', '0', 'domain', 'na', 'na'] 68.32s
s1v3_jit_3195 assayed ['1', '2', '0', '1', '1', 'persist', 'bond', 'robust_static'] 224.95s
s1v3_uni_3196 assayed ['1', '4', '0', '1', '0', 'die', 'na', 'na'] 4.38s
s1v3_jit_3197 assayed ['2', '3', '0', '1', '0', 'domain|die', 'na', 'na'] 114.07s
s1v3_uni_3198 assayed ['1', '0', '2', '0', '0', 'die', 'na', 'na'] 3.93s
s1v3_jit_3199 assayed ['2', '3', '0', '1', '0', 'die|persist', 'bond', 'fragile'] 508.43s
