 0 A  th=0.70 Lam=  0.7 M=3 D= 8 gs=0.00 rho=0.03 | top=switch(phi) r2=0.964 nev=  9 t1= 7.9 t2=   80 t3=  5287 s21=10.1 s32=66.1 pl_dec=0.0 | G1=0 G2=1
 1 A  th=0.70 Lam=  0.7 M=3 D= 8 gs=0.35 rho=0.03 | top=switch(phi) r2=0.908 nev= 10 t1= 8.4 t2=   80 t3=  5391 s21= 9.5 s32=67.4 pl_dec=0.0 | G1=0 G2=1
 2 A  th=0.70 Lam=  1.5 M=3 D= 8 gs=0.00 rho=0.03 | top=switch(phi) r2=0.954 nev= 13 t1= 8.1 t2=   80 t3=  4514 s21= 9.9 s32=56.4 pl_dec=0.0 | G1=1 G2=1
 3 A  th=0.70 Lam=  1.5 M=3 D= 8 gs=0.35 rho=0.03 | top=switch(phi) r2=0.895 nev= 13 t1= 8.4 t2=   80 t3=  4360 s21= 9.5 s32=54.5 pl_dec=0.0 | G1=1 G2=1
 4 A  th=0.70 Lam=  3.0 M=3 D= 8 gs=0.00 rho=0.03 | top=switch(phi) r2=0.832 nev= 32 t1= 7.0 t2=   80 t3=  2391 s21=11.4 s32=29.9 pl_dec=0.0 | G1=1 G2=0
 5 A  th=0.70 Lam=  3.0 M=3 D= 8 gs=0.35 rho=0.03 | top=switch(phi) r2=0.832 nev= 27 t1= 7.2 t2=   80 t3=  2461 s21=11.1 s32=30.8 pl_dec=0.0 | G1=1 G2=0
 6 A  th=0.70 Lam=  6.0 M=3 D= 8 gs=0.00 rho=0.03 | top=switch(phi) r2=0.715 nev= 46 t1= 6.6 t2=   80 t3=  1537 s21=12.0 s32=19.2 pl_dec=0.0 | G1=1 G2=0
 7 A  th=0.70 Lam=  6.0 M=3 D= 8 gs=0.35 rho=0.03 | top=switch(phi) r2=0.730 nev= 53 t1= 6.2 t2=   80 t3=  1514 s21=12.8 s32=18.9 pl_dec=1.261 | G1=1 G2=0
 8 A  th=0.80 Lam=  0.7 M=3 D= 8 gs=0.00 rho=0.03 | top=switch(phi) r2=0.948 nev=  7 t1= 8.1 t2=   80 t3=  6142 s21= 9.9 s32=76.8 pl_dec=0.0 | G1=0 G2=1
 9 A  th=0.80 Lam=  0.7 M=3 D= 8 gs=0.35 rho=0.03 | top=switch(phi) r2=0.890 nev=  8 t1= 7.6 t2=   80 t3=  6133 s21=10.5 s32=76.7 pl_dec=0.0 | G1=0 G2=1
10 A  th=0.80 Lam=  1.5 M=3 D= 8 gs=0.00 rho=0.03 | top=switch(phi) r2=0.896 nev= 12 t1= 7.9 t2=   80 t3=  4538 s21=10.2 s32=56.7 pl_dec=0.0 | G1=1 G2=1
11 A  th=0.80 Lam=  1.5 M=3 D= 8 gs=0.35 rho=0.03 | top=switch(phi) r2=0.862 nev= 14 t1= 7.1 t2=   80 t3=  4369 s21=11.2 s32=54.6 pl_dec=0.0 | G1=1 G2=1
12 A  th=0.80 Lam=  3.0 M=3 D= 8 gs=0.00 rho=0.03 | top=switch(phi) r2=0.854 nev= 23 t1= 7.0 t2=   80 t3=  3441 s21=11.4 s32=43.0 pl_dec=0.0 | G1=1 G2=1
13 A  th=0.80 Lam=  3.0 M=3 D= 8 gs=0.35 rho=0.03 | top=switch(phi) r2=0.824 nev= 24 t1= 6.1 t2=   80 t3=  2508 s21=13.0 s32=31.4 pl_dec=0.0 | G1=1 G2=0
14 A  th=0.80 Lam=  6.0 M=3 D= 8 gs=0.00 rho=0.03 | top=switch(phi) r2=0.746 nev= 51 t1= 6.2 t2=   80 t3=  1659 s21=12.8 s32=20.7 pl_dec=2.121 | G1=1 G2=0
15 A  th=0.80 Lam=  6.0 M=3 D= 8 gs=0.35 rho=0.03 | top=switch(phi) r2=0.724 nev= 61 t1= 4.7 t2=   80 t3=  1471 s21=16.9 s32=18.4 pl_dec=2.056 | G1=1 G2=0
16 A2 th=0.80 Lam=  1.5 M=3 D= 8 gs=0.35 rho=0.00 | top=switch(phi) r2=0.799 nev= 15 t1= 6.7 t2=   80 t3=  3991 s21=12.0 s32=49.9 pl_dec=0.0 | G1=1 G2=0
17 A2 th=0.80 Lam=  3.0 M=3 D= 8 gs=0.35 rho=0.00 | top=switch(phi) r2=0.810 nev= 26 t1= 6.1 t2=   80 t3=  2761 s21=13.2 s32=34.5 pl_dec=0.0 | G1=1 G2=0
