100 th=0.72 Lam= 1.5 gs=0.35 M=2 | top=switch(phi) r2=0.925 flips=25 nev= 14 t3=  3608 s21= 22.4 s32= 42.4 dec=0.0 | G1=1 G2=1
101 th=0.72 Lam= 1.5 gs=0.35 M=3 | top=switch(phi) r2=0.890 flips=21 nev= 14 t3=  4362 s21=  9.8 s32= 54.5 dec=0.0 | G1=1 G2=1
102 th=0.72 Lam= 1.5 gs=0.60 M=2 | top=switch(phi) r2=0.876 flips=25 nev= 14 t3=  3616 s21= 22.6 s32= 42.5 dec=0.0 | G1=1 G2=1
103 th=0.72 Lam= 1.5 gs=0.60 M=3 | top=switch(phi) r2=0.843 flips=25 nev= 14 t3=  3664 s21= 10.9 s32= 45.8 dec=0.0 | G1=1 G2=0
104 th=0.72 Lam= 2.5 gs=0.35 M=2 | top=switch(phi) r2=0.911 flips=41 nev= 30 t3=  2261 s21= 24.3 s32= 26.6 dec=0.0 | G1=1 G2=1
105 th=0.72 Lam= 2.5 gs=0.35 M=3 | top=switch(phi) r2=0.852 flips=29 nev= 21 t3=  3190 s21= 10.8 s32= 39.9 dec=0.0 | G1=1 G2=1
106 th=0.72 Lam= 2.5 gs=0.60 M=2 | top=switch(phi) r2=0.861 flips=39 nev= 29 t3=  2377 s21= 24.7 s32= 28.0 dec=0.0 | G1=1 G2=1
107 th=0.72 Lam= 2.5 gs=0.60 M=3 | top=switch(phi) r2=0.833 flips=33 nev= 23 t3=  2736 s21= 11.7 s32= 34.2 dec=0.0 | G1=1 G2=0
108 th=0.72 Lam= 4.0 gs=0.35 M=2 | top=switch(phi) r2=0.902 flips=51 nev= 42 t3=  1820 s21= 26.8 s32= 21.4 dec=0.0 | G1=1 G2=1
109 th=0.72 Lam= 4.0 gs=0.35 M=3 | top=switch(phi) r2=0.793 flips=43 nev= 34 t3=  2165 s21= 12.1 s32= 27.1 dec=0.0 | G1=1 G2=0
110 th=0.72 Lam= 4.0 gs=0.60 M=2 | top=switch(phi) r2=0.828 flips=53 nev= 46 t3=  1751 s21= 27.4 s32= 20.6 dec=0.0 | G1=1 G2=0
111 th=0.72 Lam= 4.0 gs=0.60 M=3 | top=switch(phi) r2=0.799 flips=41 nev= 33 t3=  2276 s21= 12.9 s32= 28.4 dec=0.0 | G1=1 G2=0
112 th=0.78 Lam= 1.5 gs=0.35 M=2 | top=switch(phi) r2=0.924 flips=25 nev= 14 t3=  3604 s21= 30.9 s32= 42.4 dec=0.0 | G1=1 G2=1
113 th=0.78 Lam= 1.5 gs=0.35 M=3 | top=switch(phi) r2=0.865 flips=23 nev= 14 t3=  3978 s21= 11.0 s32= 49.7 dec=0.0 | G1=1 G2=1
114 th=0.78 Lam= 1.5 gs=0.60 M=2 | top=switch(phi) r2=0.873 flips=25 nev= 14 t3=  3612 s21= 31.4 s32= 42.5 dec=0.0 | G1=1 G2=1
115 th=0.78 Lam= 1.5 gs=0.60 M=3 | top=switch(phi) r2=0.840 flips=23 nev= 14 t3=  3991 s21= 11.2 s32= 49.9 dec=0.0 | G1=1 G2=0
116 th=0.78 Lam= 2.5 gs=0.35 M=2 | top=switch(phi) r2=0.912 flips=39 nev= 30 t3=  2377 s21= 34.0 s32= 28.0 dec=0.0 | G1=1 G2=1
117 th=0.78 Lam= 2.5 gs=0.35 M=3 | top=switch(phi) r2=0.830 flips=35 nev= 25 t3=  2689 s21= 12.3 s32= 33.6 dec=0.0 | G1=1 G2=0
118 th=0.78 Lam= 2.5 gs=0.60 M=2 | top=switch(phi) r2=0.863 flips=37 nev= 28 t3=  2505 s21= 34.2 s32= 29.5 dec=0.0 | G1=1 G2=1
119 th=0.78 Lam= 2.5 gs=0.60 M=3 | top=switch(phi) r2=0.826 flips=33 nev= 22 t3=  2867 s21= 12.7 s32= 35.8 dec=0.0 | G1=1 G2=0
120 th=0.78 Lam= 4.0 gs=0.35 M=2 | top=switch(phi) r2=0.901 flips=51 nev= 53 t3=  1814 s21= 36.6 s32= 21.3 dec=2.793 | G1=1 G2=1
121 th=0.78 Lam= 4.0 gs=0.35 M=3 | top=switch(phi) r2=0.810 flips=39 nev= 35 t3=  2315 s21= 13.6 s32= 28.9 dec=0.0 | G1=1 G2=0
122 th=0.78 Lam= 4.0 gs=0.60 M=2 | top=switch(phi) r2=0.846 flips=49 nev= 52 t3=  1888 s21= 35.3 s32= 22.2 dec=2.913 | G1=1 G2=0
123 th=0.78 Lam= 4.0 gs=0.60 M=3 | top=switch(phi) r2=0.796 flips=47 nev= 39 t3=  1994 s21= 15.3 s32= 24.9 dec=0.0 | G1=1 G2=0
124 th=0.78 Lam= 6.0 gs=0.60 M=3 | top=switch(phi) r2=0.780 flips=57 nev= 51 t3=  1670 s21= 17.8 s32= 20.9 dec=1.805 | G1=1 G2=0
125 th=0.78 Lam= 6.0 gs=0.90 M=3 | top=switch(phi) r2=0.758 flips=73 nev= 55 t3=  1323 s21= 20.7 s32= 16.5 dec=1.538 | G1=1 G2=0
126 th=0.78 Lam= 9.0 gs=0.60 M=3 | top=switch(phi) r2=0.737 flips=79 nev= 77 t3=  1252 s21= 22.5 s32= 14.7 dec=2.568 | G1=1 G2=0
127 th=0.78 Lam= 9.0 gs=0.90 M=3 | top=switch(phi) r2=0.739 flips=78 nev= 66 t3=  1272 s21= 23.7 s32= 14.1 dec=2.249 | G1=1 G2=0
done 28
