kapT=0.8 gT=8.0e-05 W=0.38 | sav T=0.008 fF=0.00 | for T=0.640 fF=1.00 | BISTABLE=True
kapT=0.8 gT=1.2e-04 W=0.25 | sav T=0.015 fF=0.00 | for T=0.753 fF=1.00 | BISTABLE=True
kapT=0.8 gT=1.8e-04 W=0.17 | sav T=0.032 fF=0.00 | for T=0.834 fF=1.00 | BISTABLE=True
kapT=0.8 gT=2.7e-04 W=0.11 | sav T=0.886 fF=1.00 | for T=0.889 fF=1.00 | BISTABLE=False
kapT=0.8 gT=4.0e-04 W=0.07 | sav T=0.925 fF=1.00 | for T=0.925 fF=1.00 | BISTABLE=False
kapT=1.5 gT=8.0e-05 W=0.38 | sav T=0.005 fF=0.00 | for T=0.640 fF=1.00 | BISTABLE=True
kapT=1.5 gT=1.2e-04 W=0.25 | sav T=0.007 fF=0.00 | for T=0.753 fF=1.00 | BISTABLE=True
kapT=1.5 gT=1.8e-04 W=0.17 | sav T=0.013 fF=0.00 | for T=0.834 fF=1.00 | BISTABLE=True
kapT=1.5 gT=2.7e-04 W=0.11 | sav T=0.025 fF=0.00 | for T=0.889 fF=1.00 | BISTABLE=True
kapT=1.5 gT=4.0e-04 W=0.07 | sav T=0.113 fF=0.03 | for T=0.925 fF=1.00 | BISTABLE=True
kapT=2.5 gT=8.0e-05 W=0.38 | sav T=0.003 fF=0.00 | for T=0.639 fF=0.99 | BISTABLE=True
kapT=2.5 gT=1.2e-04 W=0.25 | sav T=0.005 fF=0.00 | for T=0.753 fF=1.00 | BISTABLE=True
kapT=2.5 gT=1.8e-04 W=0.17 | sav T=0.009 fF=0.00 | for T=0.834 fF=1.00 | BISTABLE=True
kapT=2.5 gT=2.7e-04 W=0.11 | sav T=0.014 fF=0.00 | for T=0.889 fF=1.00 | BISTABLE=True
kapT=2.5 gT=4.0e-04 W=0.07 | sav T=0.030 fF=0.00 | for T=0.925 fF=1.00 | BISTABLE=True
done
