300 R=0.040 W=0.19 kT=0.8 Tm=0.45 cT=0.50 pf=0.30 tip=0.62 | T:0.20->0.26 fF=0.30 | L4 tau=16092 r2=0.977 | L3 switch r2=0.893 t3=1622 | s43=9.9 span=8511 nev=73 | G1=1 G2=1
301 R=0.040 W=0.19 kT=1.5 Tm=0.45 cT=0.50 pf=0.30 tip=0.62 | T:0.20->0.26 fF=0.30 | L4 tau=16675 r2=0.964 | L3 switch r2=0.872 t3=1568 | s43=10.6 span=8482 nev=72 | G1=1 G2=1
302 R=0.050 W=0.15 kT=0.8 Tm=0.45 cT=0.50 pf=0.30 tip=0.62 | T:0.20->0.29 fF=0.30 | L4 tau=16691 r2=0.950 | L3 switch r2=0.868 t3=1518 | s43=11.0 span=8861 nev=75 | G1=1 G2=1
303 R=0.050 W=0.15 kT=1.5 Tm=0.45 cT=0.50 pf=0.30 tip=0.62 | T:0.20->0.27 fF=0.30 | L4 tau=16595 r2=0.965 | L3 switch r2=0.873 t3=1568 | s43=10.6 span=8569 nev=73 | G1=1 G2=1
304 R=0.065 W=0.12 kT=0.8 Tm=0.45 cT=0.50 pf=0.30 tip=0.62 | T:0.20->0.33 fF=0.32 | L4 tau=18934 r2=0.955 | L3 switch r2=0.894 t3=1680 | s43=11.3 span=10442 nev=74 | G1=1 G2=1
305 R=0.065 W=0.12 kT=1.5 Tm=0.45 cT=0.50 pf=0.30 tip=0.62 | T:0.20->0.29 fF=0.30 | L4 tau=17291 r2=0.861 | L3 switch r2=0.891 t3=1622 | s43=10.7 span=9150 nev=72 | G1=1 G2=1
306 R=0.080 W=0.09 kT=0.8 Tm=0.45 cT=0.50 pf=0.30 tip=0.62 | T:0.20->0.43 fF=0.40 | L4 tau=22642 r2=0.949 | L3 switch r2=0.898 t3=1836 | s43=12.3 span=13340 nev=73 | G1=1 G2=1
307 R=0.080 W=0.09 kT=1.5 Tm=0.45 cT=0.50 pf=0.30 tip=0.62 | T:0.20->0.31 fF=0.30 | L4 tau=19816 r2=0.698 | L3 switch r2=0.891 t3=1622 | s43=1.0 span=841 nev=72 | G1=0 G2=0
308 R=0.050 W=0.15 kT=1.5 Tm=0.35 cT=0.50 pf=0.30 tip=0.62 | T:0.20->0.27 fF=0.30 | L4 tau=17082 r2=0.964 | L3 switch r2=0.886 t3=1624 | s43=10.5 span=8767 nev=73 | G1=1 G2=1
309 R=0.065 W=0.12 kT=1.5 Tm=0.35 cT=0.50 pf=0.30 tip=0.62 | T:0.20->0.29 fF=0.30 | L4 tau=17669 r2=0.863 | L3 switch r2=0.867 t3=1568 | s43=11.3 span=9142 nev=74 | G1=1 G2=1
310 R=0.050 W=0.15 kT=1.5 Tm=0.55 cT=0.50 pf=0.30 tip=0.62 | T:0.20->0.27 fF=0.30 | L4 tau=16713 r2=0.964 | L3 switch r2=0.872 t3=1568 | s43=10.7 span=8635 nev=73 | G1=1 G2=1
311 R=0.065 W=0.12 kT=1.5 Tm=0.55 cT=0.50 pf=0.30 tip=0.62 | T:0.20->0.29 fF=0.30 | L4 tau=17763 r2=0.868 | L3 switch r2=0.872 t3=1568 | s43=11.3 span=9159 nev=75 | G1=1 G2=1
312 R=0.050 W=0.15 kT=1.5 Tm=0.45 cT=0.35 pf=0.30 tip=0.62 | T:0.20->0.26 fF=0.30 | L4 tau=14623 r2=0.969 | L3 switch r2=0.855 t3=1489 | s43=9.8 span=7703 nev=107 | G1=1 G2=1
313 R=0.050 W=0.15 kT=1.5 Tm=0.45 cT=0.65 pf=0.30 tip=0.62 | T:0.20->0.27 fF=0.30 | L4 tau=16190 r2=0.966 | L3 switch r2=0.891 t3=1622 | s43=10.0 span=8536 nev=69 | G1=1 G2=1
314 R=0.050 W=0.15 kT=1.5 Tm=0.45 cT=0.50 pf=0.45 tip=0.62 | T:0.30->0.41 fF=0.47 | L4 tau=14904 r2=0.987 | L3 switch r2=0.891 t3=1743 | s43=8.6 span=7649 nev=65 | G1=1 G2=1
315 R=0.050 W=0.15 kT=1.5 Tm=0.45 cT=0.50 pf=0.30 tip=0.55 | T:0.18->0.27 fF=0.30 | L4 tau=15069 r2=0.980 | L3 switch r2=0.892 t3=1622 | s43=9.3 span=7895 nev=69 | G1=1 G2=1
316 R=0.050 W=0.15 kT=1.5 Tm=0.45 cT=0.50 pf=0.45 tip=0.55 | T:0.27->0.41 fF=0.47 | L4 tau=14115 r2=0.993 | L3 switch r2=0.890 t3=1743 | s43=8.1 span=7304 nev=66 | G1=1 G2=1
317 R=0.050 W=0.08 kT=1.5 Tm=0.45 cT=0.50 pf=0.30 tip=0.62 | T:0.20->0.30 fF=0.30 | L4 tau=15569 r2=0.976 | L3 switch r2=0.870 t3=1568 | s43=9.9 span=7954 nev=73 | G1=1 G2=1
318 R=0.050 W=0.30 kT=1.5 Tm=0.45 cT=0.50 pf=0.30 tip=0.62 | T:0.20->0.22 fF=0.30 | L4 tau=22886 r2=0.628 | L3 switch r2=0.879 t3=1638 | s43=2.2 span=1812 nev=86 | G1=0 G2=0
done 19
