C_mu10 ok=True why= t=100000 wall=444s
t=     0 V=0.359 hf=0.00 agg=0.00 <c>=0.500 sd=0.323 rass=0.000
t=  3300 V=0.545 hf=1.00 agg=0.92 <c>=0.445 sd=0.314 rass=0.014
t=  6600 V=0.371 hf=0.00 agg=0.00 <c>=0.476 sd=0.275 rass=0.148
t=  9900 V=0.497 hf=1.00 agg=0.90 <c>=0.491 sd=0.269 rass=0.023
t= 13200 V=0.368 hf=1.00 agg=0.93 <c>=0.415 sd=0.285 rass=0.014
t= 16500 V=0.451 hf=0.79 agg=0.40 <c>=0.486 sd=0.310 rass=0.049
t= 19800 V=0.501 hf=0.83 agg=0.87 <c>=0.456 sd=0.315 rass=0.011
t= 23100 V=0.523 hf=0.84 agg=0.87 <c>=0.447 sd=0.319 rass=0.002
t= 26400 V=0.537 hf=0.84 agg=0.87 <c>=0.444 sd=0.320 rass=0.001
t= 29700 V=0.551 hf=0.84 agg=0.88 <c>=0.442 sd=0.321 rass=0.001
t= 33000 V=0.555 hf=0.84 agg=0.88 <c>=0.441 sd=0.321 rass=0.001
t= 36300 V=0.557 hf=0.84 agg=0.88 <c>=0.442 sd=0.321 rass=0.001
t= 39600 V=0.560 hf=0.84 agg=0.88 <c>=0.443 sd=0.321 rass=0.001
t= 42900 V=0.561 hf=0.84 agg=0.88 <c>=0.445 sd=0.321 rass=0.001
t= 46200 V=0.562 hf=0.85 agg=0.89 <c>=0.447 sd=0.321 rass=0.001
t= 49500 V=0.564 hf=0.85 agg=0.89 <c>=0.448 sd=0.321 rass=0.001
t= 52800 V=0.564 hf=0.85 agg=0.89 <c>=0.450 sd=0.321 rass=0.001
t= 56100 V=0.565 hf=0.85 agg=0.89 <c>=0.451 sd=0.321 rass=0.001
t= 59400 V=0.564 hf=0.85 agg=0.89 <c>=0.452 sd=0.321 rass=0.001
t= 62700 V=0.562 hf=0.85 agg=0.89 <c>=0.453 sd=0.321 rass=0.001
t= 66000 V=0.558 hf=0.85 agg=0.89 <c>=0.454 sd=0.321 rass=0.001
t= 69300 V=0.558 hf=0.85 agg=0.89 <c>=0.456 sd=0.321 rass=0.001
t= 72600 V=0.557 hf=0.85 agg=0.89 <c>=0.457 sd=0.322 rass=0.001
t= 75900 V=0.556 hf=0.85 agg=0.89 <c>=0.457 sd=0.322 rass=0.001
t= 79200 V=0.554 hf=0.85 agg=0.89 <c>=0.458 sd=0.322 rass=0.001
t= 82500 V=0.553 hf=0.85 agg=0.89 <c>=0.459 sd=0.322 rass=0.001
t= 85800 V=0.552 hf=0.85 agg=0.89 <c>=0.460 sd=0.322 rass=0.001
t= 89100 V=0.552 hf=0.85 agg=0.89 <c>=0.461 sd=0.322 rass=0.001
t= 92400 V=0.551 hf=0.85 agg=0.89 <c>=0.461 sd=0.322 rass=0.001
t= 95700 V=0.550 hf=0.85 agg=0.89 <c>=0.462 sd=0.322 rass=0.001
t= 99000 V=0.549 hf=0.85 agg=0.89 <c>=0.463 sd=0.322 rass=0.001
EQ: c*=0.457 sd*=0.322 (last-half medians)
